question_id,comparison_file,order,prompt_condition,scheduled_n,collected_n,valid_n,invalid_n,modal_verdict,modal_count,stability_valid,stability_all_scheduled
82,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
83,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
83,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
83,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
83,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,2,0.6666666666666666,0.6666666666666666
83,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,B,2,0.6666666666666666,0.6666666666666666
83,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
83,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
83,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
83,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,A,2,0.6666666666666666,0.6666666666666666
83,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
83,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
83,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
101,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
101,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
101,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
101,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
101,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
101,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
101,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
101,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
101,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
101,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
101,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
101,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
102,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
102,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
102,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
102,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
102,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
102,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
102,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
102,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
102,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
102,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
102,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
102,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
103,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
103,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
103,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
103,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
103,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
103,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,2,0.6666666666666666,0.6666666666666666
103,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
103,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
103,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
103,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
103,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
103,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
141,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
141,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
141,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
141,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
141,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
141,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
141,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
141,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
141,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,A,2,0.6666666666666666,0.6666666666666666
141,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
141,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
141,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
142,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
142,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
142,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
142,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
142,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
142,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
142,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
142,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
142,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
142,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
142,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
142,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
143,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
143,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
143,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
143,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
143,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
143,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
143,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
143,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
143,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
143,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
143,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
143,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
151,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
151,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
151,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
151,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
151,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
151,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,2,0.6666666666666666,0.6666666666666666
151,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
151,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
151,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
151,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
151,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
151,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
152,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
152,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
152,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
152,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
152,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
152,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
152,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
152,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
152,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,B,3,1.0,1.0
152,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,3,1.0,1.0
152,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
152,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
153,alpaca-13b.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
153,alpaca-13b.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
153,alpaca-13b.jsonl,comparison_baseline,original,3,3,3,0,B,3,1.0,1.0
153,alpaca-13b.jsonl,comparison_baseline,warning_ablation,3,3,3,0,B,3,1.0,1.0
153,gpt-3.5-turbo.jsonl,baseline_comparison,original,3,3,3,0,B,2,0.6666666666666666,0.6666666666666666
153,gpt-3.5-turbo.jsonl,baseline_comparison,warning_ablation,3,3,3,0,B,2,0.6666666666666666,0.6666666666666666
153,gpt-3.5-turbo.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
153,gpt-3.5-turbo.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
153,gpt-4.jsonl,baseline_comparison,original,3,3,3,0,A,3,1.0,1.0
153,gpt-4.jsonl,baseline_comparison,warning_ablation,3,3,3,0,A,3,1.0,1.0
153,gpt-4.jsonl,comparison_baseline,original,3,3,3,0,A,3,1.0,1.0
153,gpt-4.jsonl,comparison_baseline,warning_ablation,3,3,3,0,A,3,1.0,1.0
